"","person_id","display_last_comma_first","display_first_last","rosterstatus","from_year","to_year","playercode","team_id","team_city","team_name","team_abbreviation","team_code","games_played_flag","otherleague_experience_ch"
"1164",76678,"Epps, Ray","Ray Epps",FALSE,1978,1978,"HISTADD_ray_epps",0,"","","","","Y","00"
"1165",201623,"Erden, Semih","Semih Erden",FALSE,2010,2011,"semih_erden",0,"","","","","Y","00"
"1166",76679,"Erias, Bo","Bo Erias",FALSE,1957,1957,"HISTADD_bo_erias",0,"","","","","Y","00"
"1167",76680,"Erickson, Keith","Keith Erickson",FALSE,1965,1976,"HISTADD_keith_erickson",0,"","","","","Y","00"
"1168",76681,"Erving, Julius","Julius Erving",FALSE,1976,1986,"HISTADD_julius_erving",0,"","","","","Y","00"
"1169",1915,"Eschmeyer, Evan","Evan Eschmeyer",FALSE,1999,2003,"evan_eschmeyer",0,"","","","","Y","00"
"1170",76682,"Eskridge, Jack","Jack Eskridge",FALSE,1948,1948,"HISTADD_jack_eskridge",0,"","","","","Y","00"
"1171",76683,"Esposito, Vincenzo","Vincenzo Esposito",FALSE,1995,1995,"HISTADD_vincenzo_esposito",0,"","","","","Y","00"
"1172",1629234,"Eubanks, Drew","Drew Eubanks",FALSE,2018,2019,"drew_eubanks",0,"","","","","Y","01"
"1173",76687,"Evans, Bob","Bob Evans",FALSE,1949,1949,"HISTADD_bob_evans",0,"","","","","Y","00"
"1174",967,"Evans, Brian","Brian Evans",FALSE,1996,1998,"brian_evans",0,"","","","","Y","00"
"1175",76685,"Evans, Earl","Earl Evans",FALSE,1979,1979,"HISTADD_earl_evans",0,"","","","","Y","00"
"1176",1628980,"Evans, Jacob","Jacob Evans",FALSE,2018,2019,"jacob_evans",0,"","","","","Y","01"
"1177",1628393,"Evans, Jawun","Jawun Evans",FALSE,2017,2019,"jawun_evans",0,"","","","","Y","01"
"1178",202379,"Evans, Jeremy","Jeremy Evans",TRUE,2010,2017,"jeremy_evans",1610612742,"Dallas","Mavericks","DAL","mavericks","Y","11"
"1179",2230,"Evans, Maurice","Maurice Evans",FALSE,2001,2011,"maurice_evans",0,"","","","","Y","00"
"1180",76686,"Evans, Mike","Mike Evans",FALSE,1979,1987,"HISTADD_mike_evans",0,"","","","","Y","00"
"1181",2501,"Evans, Reggie","Reggie Evans",FALSE,2002,2014,"reggie_evans",0,"","","","","Y","00"
"1182",201936,"Evans, Tyreke","Tyreke Evans",TRUE,2009,2018,"tyreke_evans",1610612740,"New Orleans","Pelicans","NOP","pelicans","Y","00"
"1183",101137,"Ewing, Daniel","Daniel Ewing",FALSE,2005,2006,"daniel_ewing",0,"","","","","Y","00"
"1184",121,"Ewing, Patrick","Patrick Ewing",FALSE,1985,2001,"patrick_ewing",0,"","","","","Y","00"
"1185",201607,"Ewing, Patrick","Patrick Ewing",FALSE,2010,2010,"patrick_ewing",0,"","","","","Y","01"
"1186",203957,"Exum, Dante","Dante Exum",TRUE,2014,2019,"dante_exum",1610612762,"Utah","Jazz","UTA","jazz","Y","00"
"1187",201963,"Eyenga, Christian","Christian Eyenga",FALSE,2010,2011,"christian_eyenga",0,"","","","","Y","01"
"1188",203105,"Ezeli, Festus","Festus Ezeli",TRUE,2012,2016,"festus_ezeli",1610612744,"Golden State","Warriors","GSW","warriors","Y","01"
"1189",76689,"Ezersky, Johnny","Johnny Ezersky",FALSE,1947,1949,"HISTADD_johnny_ezersky",0,"","","","","Y","00"
"1190",76690,"Fabel, Joe","Joe Fabel",FALSE,1946,1946,"HISTADD_joe_fabel",0,"","","","","Y","00"
"1191",76691,"Fairchild, John","John Fairchild",FALSE,1965,1965,"HISTADD_john_fairchild",0,"","","","","Y","00"
"1192",1629605,"Fall, Tacko","Tacko Fall",FALSE,2019,2019,"tacko_fall",0,"","","","","N","00"
"1193",76692,"Farbman, Phil","Phil Farbman",FALSE,1948,1948,"HISTADD_phil_farbman",0,"","","","","Y","00"
"1194",202702,"Faried, Kenneth","Kenneth Faried",TRUE,2011,2019,"kenneth_faried",1610612743,"Denver","Nuggets","DEN","nuggets","Y","00"
"1195",76693,"Farley, Dick","Dick Farley",FALSE,1954,1958,"HISTADD_dick_farley",0,"","","","","Y","00"
"1196",200770,"Farmar, Jordan","Jordan Farmar",TRUE,2006,2016,"jordan_farmar",1610612763,"Memphis","Grizzlies","MEM","grizzlies","Y","01"
